Stride_length,Speed,Stride_time,Swing%,Stance%,Activity
1.22,1.09,1.12,44.04,55.96,Level ground walking
1.23,1.05,1.17,45.09,54.91,Level ground walking
1.09,0.92,1.18,45.28,54.72,Level ground walking
1.37,1.12,1.22,43.43,56.57,Level ground walking
1.37,1.11,1.24,43.58,56.42,Level ground walking
1.52,1.32,1.15,44.97,55.03,Level ground walking
1.29,1.08,1.19,43.7,56.3,Level ground walking
1.19,1.04,1.15,45.64,54.36,Level ground walking
1.09,0.89,1.22,45.53,54.47,Level ground walking
1.05,0.87,1.21,43.6,56.4,Ramp ascent
0.92,0.78,1.17,43.0,57.0,Ramp ascent
1.07,0.89,1.2,40.15,59.85,Ramp ascent
1.1,0.92,1.2,42.31,57.69,Ramp ascent
1.03,0.9,1.14,43.78,56.22,Ramp ascent
1.13,0.97,1.17,42.38,57.62,Ramp ascent
1.15,1.02,1.14,42.47,57.53,Ramp ascent
1.03,0.88,1.18,42.17,57.83,Ramp ascent
1.11,0.94,1.19,42.42,57.58,Ramp ascent
1.47,1.34,1.1,39.11,60.89,Ramp ascent
1.0,0.85,1.18,41.94,58.06,Ramp ascent
1.14,0.95,1.2,42.32,57.68,Ramp ascent
1.11,0.94,1.19,42.16,57.84,Ramp ascent
1.0,0.83,1.21,42.03,57.97,Ramp ascent
1.07,0.89,1.2,42.35,57.65,Ramp ascent
1.15,1.0,1.15,41.34,58.66,Ramp ascent
1.1,0.93,1.18,43.01,56.99,Ramp ascent
1.0,0.82,1.23,43.1,56.9,Ramp ascent
1.12,0.95,1.18,42.08,57.92,Ramp ascent
1.13,0.96,1.19,40.81,59.19,Ramp ascent
1.19,0.96,1.24,44.27,55.73,Ramp ascent
1.11,0.93,1.19,41.44,58.56,Ramp ascent
1.01,0.83,1.22,41.98,58.02,Ramp ascent
1.05,0.87,1.21,42.05,57.95,Ramp ascent
1.17,0.98,1.2,40.27,59.73,Ramp ascent
1.28,1.08,1.18,42.01,57.99,Ramp ascent
0.95,0.81,1.18,42.21,57.79,Ramp ascent
1.09,0.85,1.27,40.3,59.7,Ramp ascent
1.15,0.94,1.22,42.76,57.24,Ramp ascent
1.06,0.85,1.25,40.96,59.04,Ramp ascent
0.99,0.8,1.23,40.1,59.9,Ramp ascent
0.99,0.84,1.18,41.87,58.13,Ramp ascent
1.0,0.83,1.21,43.37,56.63,Ramp ascent
1.08,0.89,1.22,42.35,57.65,Ramp ascent
1.06,0.86,1.24,42.26,57.74,Ramp ascent
1.11,0.94,1.19,40.97,59.03,Ramp ascent
1.09,0.9,1.2,42.18,57.82,Ramp ascent
1.03,0.86,1.2,42.33,57.67,Ramp ascent
1.03,0.82,1.25,43.11,56.89,Ramp ascent
1.03,0.89,1.17,43.07,56.93,Ramp ascent
1.05,0.87,1.2,41.63,58.37,Ramp ascent
1.17,0.97,1.21,44.61,55.39,Ramp descent
1.14,0.88,1.3,48.08,51.92,Ramp descent
1.28,1.06,1.21,44.74,55.26,Ramp descent
1.22,1.07,1.14,45.17,54.83,Ramp descent
1.23,1.11,1.11,43.56,56.44,Ramp descent
1.14,0.98,1.16,48.63,51.37,Ramp descent
0.93,0.83,1.11,48.07,51.93,Ramp descent
1.11,1.01,1.1,50.0,50.0,Ramp descent
1.14,0.98,1.16,47.32,52.68,Ramp descent
1.13,1.03,1.1,47.23,52.77,Ramp descent
1.11,1.01,1.1,48.13,51.87,Ramp descent
1.15,1.0,1.15,48.7,51.3,Ramp descent
1.09,0.96,1.13,48.9,51.1,Ramp descent
1.06,0.94,1.13,48.98,51.02,Ramp descent
1.1,0.96,1.15,47.83,52.17,Ramp descent
1.02,0.91,1.11,48.79,51.21,Ramp descent
1.11,1.02,1.08,46.18,53.82,Ramp descent
1.18,1.04,1.13,47.83,52.17,Ramp descent
0.91,0.81,1.12,51.3,48.7,Ramp descent
1.12,1.06,1.06,47.07,52.93,Ramp descent
1.13,1.07,1.06,47.88,52.12,Ramp descent
1.09,1.03,1.05,49.48,50.52,Ramp descent
1.17,1.08,1.09,48.53,51.47,Ramp descent
1.11,1.08,1.03,45.59,54.41,Ramp descent
1.11,0.99,1.12,47.8,52.2,Ramp descent
1.09,0.95,1.15,48.3,51.7,Ramp descent
1.16,1.07,1.08,47.69,52.31,Ramp descent
1.16,1.04,1.12,46.55,53.45,Ramp descent
1.09,0.95,1.15,48.91,51.09,Ramp descent
0.97,0.82,1.19,49.58,50.42,Ramp descent
1.21,1.07,1.13,46.02,53.98,Ramp descent
1.24,1.09,1.14,47.33,52.67,Ramp descent
1.25,1.1,1.13,45.39,54.61,Ramp descent
1.14,1.05,1.09,48.9,51.1,Ramp descent
0.97,0.89,1.1,53.64,46.36,Ramp descent
1.09,0.96,1.14,46.89,53.11,Ramp descent
1.13,1.03,1.09,45.75,54.25,Ramp descent
1.16,1.07,1.09,48.85,51.15,Ramp descent
1.05,0.99,1.06,47.83,52.17,Ramp descent
1.15,1.05,1.09,47.44,52.56,Ramp descent
1.09,0.93,1.17,48.76,51.24,Ramp descent
1.18,1.03,1.14,46.01,53.99,Ramp descent
1.08,0.91,1.18,47.8,52.2,Ramp descent
1.22,1.12,1.1,44.98,55.02,Ramp descent
1.18,1.05,1.12,45.31,54.69,Ramp descent
1.2,1.03,1.16,46.56,53.44,Ramp descent
1.14,0.96,1.18,46.6,53.4,Ramp descent
1.24,1.09,1.14,45.33,54.67,Ramp descent
1.21,1.04,1.16,44.94,55.06,Ramp descent
1.0,0.84,1.19,49.12,50.88,Ramp descent
1.23,1.09,1.13,46.46,53.54,Ramp descent
1.15,0.98,1.17,46.25,53.75,Ramp descent
1.08,0.9,1.19,45.22,54.78,Ramp descent
1.14,1.02,1.12,49.15,50.85,Ramp descent
1.16,1.02,1.14,48.9,51.1,Ramp descent
1.06,0.89,1.18,47.37,52.63,Ramp descent
1.18,1.03,1.15,47.92,52.08,Ramp descent
1.19,1.07,1.12,47.72,52.28,Ramp descent
